id,value
Card0Name,공격
Card1Name,방어
Card2Name,집중
Card3Name,회피
Card4Name,사냥 표식
Card5Name,역습
Card6Name,분쇄
Card7Name,연소
Card8Name,화염검
Card9Name,연속 베기
Card10Name,단검 난무
Card11Name,회오리
Card12Name,불꽃 연타
Card13Name,철벽
Card14Name,견고함
Card15Name,불꽃 손길
Card16Name,연소 촉진
Card17Name,약점 간파
Card18Name,재의 검
Card19Name,피의 의식
Card20Name,처형
Card21Name,사슬 베기
Card22Name,재의 약속
Card23Name,순교
Card24Name,방패 밀치기
Card25Name,숨 고르기
Card26Name,불씨 확산
Card27Name,철퇴 강타
Card28Name,방벽 세우기
Card29Name,과열
Card30Name,왕명 거부
Card31Name,응급 처치
Card32Name,도발
Card33Name,기름 붓기
Card34Name,검날 세우기
Card35Name,쇄도
Card36Name,최후의 버팀목
Card37Name,재점화
Card38Name,무장 해제
Card39Name,빈틈 막기
Card40Name,희생의 불꽃
Card41Name,재빠른 찌르기
Card42Name,취약 찌르기
Card43Name,방어 태세
Card44Name,연속 호흡
Card45Name,왕관 파쇄
Card46Name,불꽃 장벽
Card47Name,피의 복수
Card48Name,강타
Card49Name,보호막
Card50Name,방어 자세
Card51Name,긴급 방어
Card52Name,화염구
Card53Name,귀환의 서
